agency,description,name,price
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '3', 'Sq.Ft. Lot': '9,619'}",16779 W Fairmount Ave Pebblecreek Phase 2 Unit 47A,"$1,030,791"
Tri Pointe Homes Arizona Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,347'}",18112 W Meadowbrook Ave Sedella,"$989,265"
Realty One Group Mt Desert,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,669'}",5260 Tranquil Bluff Way Granite Dells Estates Phase 2A & 2B,"$659,000"
Realty Executives Az Territory,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,701'}",1420 Varsity Dr Falcon Point At Prescott Lakes,"$599,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2 F 2 3/4 1 1/2', 'Sq.Ft.': '2,375'}",6941 Sienna Place Deep Well Ranch Parcel 1.47,"$715,000"
Kmf Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,136'}",4983 Hornet Dr Yavapai Hills 1 Phase 1 Amended,"$540,000"
Prescott Luxury Realty & Investments,"{'Beds': '3', 'Baths': '1 F 2 3/4', 'Sq.Ft.': '2,376'}",2901 W Prospect Point  ,"$700,000"
Prescott Luxury Realty & Investments,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,746'}",14235 N Three Sisters Dr Talking Rock,"$1,649,900"
Evermore Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,116'}",7021 Turquoise St Deep Well Ranch,"$621,220"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '6,307'}",4550 N Rubicon Ave Arcadia Replatted Lot 1 Ex Sly 357 & Ex Rd Cor P/Dkt 3267/550 Blk I,"$6,950,000"
Homesmart Fine Homes And Land,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,004'}",924 Old Stage Rd Forest Hylands Condominiums Amd,"$368,000"
Realty Executives,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,449'}",2161 S Resort Way Prescott Resort's Golf & Tennis Ranch,"$399,500"
Realty One Group Mt Desert,"{'Beds': '2', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,704'}",1837 Sherwood Dr Forest Village,"$550,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,467'}",9310 N Callahan Rd American Ranch,"$1,485,000"
RE/MAX Mountain Properties,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '2,077'}",2050 W Shadow Valley Ranch Rd Shadow Valley Estates,"$675,000"
Retsy,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '6,479'}",4417 N Camino Allenada -- Hacienda Allenada,"$6,250,000"
Walt Danley Local Luxury Christie's International Real Estate,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '5,992'}",5324 E Mariposa St Royal Terrace Amd,"$6,000,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '7', 'Baths': '8', 'Sq.Ft.': '10,035'}",5427 E Wonderview Road Rd Highlands 2,"$5,750,000"
Retsy,"{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '5,700'}",3137 N Valencia Ln Ingleside Club Tract Lots 16-39 & 130-150,"$5,700,000"
"Lpt Realty, Llc","{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '4,776'}",2150 E Belmont Ave Biltmore Highlands,"$5,500,000"
"Venture Rei, Llc","{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '5,238'}",4625 E Exeter Blvd Lafayette Villa 5,"$5,199,999"
Keller Williams Realty Phoenix,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '6,054'}",56 Biltmore Estates Arizona Biltmore Estates,"$5,195,000"
Era-Young Realty & Investment,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,213'}",208 S Rim Club Dr The Rim Golf Club Phase 1,"$1,500,000"
West Usa Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '5,200'}",318 E Highline Dr The Knolls,"$1,460,000"
Insight Land & Investments,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,682'}",1108 N Indian Paintbrush Circle Chaparral Pines Phase 1,"$1,375,000"
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,324'}",1810 E Desert Mimosa Dr Chaparral Pines,"$1,375,000"
RE/MAX Elite,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,141'}",1201 N Horizon Way N Chaparral Highlands,"$1,199,000"
Era-Young Realty & Investment,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,720'}",913 N Scenic Dr Chaparral Pines,"$1,195,000"
Realty One Group,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '6,443'}",2106 E Kaler Dr Biltmore Highlands 2,"$4,995,000"
America One Luxury Real Estate,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '6,495'}",3197 E San Miguel Ave Alta Vista Park,"$4,995,000"
Karen J Baer,"{'Beds': '8', 'Baths': '8', 'Sq.Ft.': '9,000'}",94 Biltmore Estate Biltmore Estates,"$4,900,000"
"Venture Rei, Llc","{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '5,064'}",4602 E Arcadia Ln Del Ray Estates 15,"$4,899,999"
Integra Homes And Land,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,537'}","2415 E Scarlet Bugler Circle Chaparral Pines Phase 2, Lot 717","$1,190,000"
West Usa Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,860'}",2504 E Scarlet Bugler Circle Chaparral Pines Phase 2,"$1,100,000"
Integra Homes And Land,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,935'}",2902 E Rim Club Dr Rim Golf Club Phase 1,"$1,099,000"
Coldwell Banker Bishop Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,317'}",176 E Highline Dr Knolls Unit 1,"$1,095,000"
Era-Young Realty & Investment,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,299'}",2306 E Scarlet Bugler Circle Chaparral Pines,"$999,000"
Kj Elite Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,352'}",4590 N Colcord Cove Colcord Cove Gated Community,"$974,900"
Delex Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,368'}",2015 E Gaffney Rd  ,"$699,000"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,126'}",47206 N New River Rd Unkown,"$690,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,007'}",135 E Mingus Rd Rural Property,"$685,000"
Az Flat Fee,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,707'}",4624 W Heyerdahl Ct Anthem West Unit 2,"$650,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,128'}",4917 W Carpenter Dr Anthem Unit 81C,"$649,000"
Delex Realty,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '860'}",42926 N 10th St Rural,"$599,900"
Desert Dream Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,900'}",48611 N 6th Ave  ,"$599,000"
Keller Williams Arizona Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,012'}",43322 N 43rd Dr Anthem West Unit 2,"$559,850"
Morgan Taylor Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,575'}",46855 N 41st Ave Metes And Bounds,"$510,900"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,354'}",2402 W Roughrider Rd Wranglers Roost 2,"$499,900"
"Offerpad Brokerage, Llc","{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,790'}",42916 N 43rd Dr Anthem West Unit 2,"$485,000"
"Daisy Dream Homes Real Estate, Llc","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '1,898'}",49213 N 7th Ave  ,"$475,000"
Swallows & Associates Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,332'}",7813 W Calle Lejos -- Silver Canyon Ranch,"$1,790,000"
Realty One Group,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,076'}",30593 N 117th Dr Blackstone At Vistancia Parcels B6 & B9,"$1,750,000"
RE/MAX Alliance Group,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,459'}",30999 N 117th Dr Blackstone At Vistancia Parcel B9,"$1,730,000"
Best Homes Real Estate,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,007'}",27535 N 85th Dr Westwing Mountain Parcel 13A,"$1,595,000"
Realty Executives,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,500'}",8414 W Donald Dr Citrus Garden Estates Unit 3 Lot 45-70 Tr A,"$1,549,000"
H2 Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,441'}",30946 N 120th Ave Blackstone At Vistancia B10,"$1,500,000"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,080'}",7563 W Electra Ln Riverwalk,"$1,495,000"
My Home Group Real Estate,"{'Beds': '6', 'Baths': '6', 'Sq.Ft.': '4,192'}",8087 W Chama Dr Sunrise Vista,"$1,485,000"
RE/MAX Excalibur,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,061'}",7323 W Acoma Dr Acoma Estates,"$1,399,000"
Robert M Kvamme,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,800'}",10446 W Navigator Ln Ironwood Estates,"$1,375,000"
Hill Top Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,724'}",9379 W El Cortez Place  ,"$1,350,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,391'}",9168 W Daley Ln Meadows Parcels 1 And 3 Phase 2,"$1,319,000"
Real Estate Collection,"{'Beds': '2', 'Baths': '2', 'Sq.Ft. Lot': '872,507'}",38715 N 205th Ave  ,"$1,200,000"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,323'}",45647 N Us Hwy 60 89 -- Stunning Views,"$749,000"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,339'}",25937 W Ravina Ln  ,"$695,000"
Western Az Ranch & Real Estate Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,870'}",40342 N 253rd Ave  ,"$1,199,000"
Tinzie Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,188'}",25221 W Saddle Mountain Rd Love Those Horses!,"$335,000"
Arizona Legends Realty,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,521'}",26938 W Rising Star Way Horse Property,"$725,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,019'}",22471 N Celtic Ave Cobblestone Farms Parcel II,"$590,000"
"Kd Realty, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,214'}",54446 W Quail Run Rd Rural-Non Subdivision,"$589,900"
Emg Real Estate,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,598'}",20358 N Valencia Dr Tortosa Nw Parcel 9,"$589,500"
The Maricopa Real Estate Co,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '4,050'}",38190 W Montserrat St Rancho Mirage,"$585,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,814'}",43350 W Desert Fairways Dr Parcel 7 Rancho El Dorado,"$574,990"
"Opendoor Brokerage, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,786'}",42788 W Bravo Dr Phase II Parcel 14 At Rancho El Dorado,"$568,000"
Royalty Real Estate Services,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,914'}",22248 N Sunset Dr Cobblestone Farms Parcel III,"$560,000"
Homesmart,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,432'}",45269 W Jack Rabbit Trl Alterra North,"$550,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,803'}",40810 W Parkhill Dr Rancho El Dorado Phase III Parcel 39/51,"$550,000"
Richmond American Homes,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,500'}",40259 W Michaels Dr Rancho El Dorado Phase III Parcel 54,"$549,995"
Ahwatukee Realty & Property Management Inc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,183'}",19989 N Jones Dr Parcel 6 Of The Villages At Rancho El Dorado,"$549,900"
Exp Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '4,208'}",41096 W Novak Ln Parcel 4 At Homestead North,"$549,500"
Diane Dahlin's Pine Rim Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '864'}",2240 Forest Park Dr Forest Trails Unit 1,"$359,777"
Diane Dahlin's Pine Rim Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,384'}",1971 Little Doe Trl Timberlake Pines Pinewoods Unit 3,"$389,900"
West Usa Realty,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '972'}",2050 Chevelon Rd Timberlake Pines Unit 1,"$189,900"
Arizona Resource Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,756'}",3233 Bigler Rd Bigler Homesteads,"$399,000"
Long Realty Canyon Sky,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '1,013'}",2379 Quarter Horse Trl #201 Bison Ranch Resort Suites,"$180,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,961'}",2873 Little Hawk Trl  ,"$615,000"
Signature Premier Realty Llc,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '469'}",2888 Dale Rd Buckskin Mobile Homesites,"$187,000"
Better Homes And Gardens Real Estate Bloomtree Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,001'}",26797 N Chicory Way S23 T18n R3w,"$370,000"
Realty One Group Mt Desert,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,689'}",26336 N Sonoma Ct Unsubdived Land,"$348,900"
RE/MAX Mountain Properties,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,756'}",25180 N Enid Dr Antelope Lakes Unit 2,"$323,000"
Diane Dahlin's Pine Rim Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '841'}",3416 Lodge Rd Aripine,"$200,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,106'}",2770 Chandelle Ln Mogollon Estates,"$670,000"
Homesmart,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '800'}",2405 Quarter Horse Trl #135 Bison Ranch Resort Suites,"$164,500"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,264'}",2228 Forest Ln Pine Meadows Unit 2,"$300,000"
Realty One Group Mt Desert,"{'Beds': '4', 'Baths': '2 F 1 3/4', 'Sq.Ft.': '2,728'}",22285 N Malapai Ridge Rd Malapai Ridge Estates,"$649,000"
Irealty Professionals,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,257'}",110 E Laguna Trl Holiday Lake Estates,"$320,000"
Barrett Real Estate,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,000'}",3125 W Big Chino Rd  ,"$427,500"
Barrett Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,310'}",100 W Anasazi Trl  ,"$344,900"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2 3/4', 'Sq.Ft.': '1,188'}",24200 N Bourbon Aly Sunset Mobile Sites & Santa Fe Industrial Sites,"$278,000"
Irealty Professionals,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,280'}",2795 W Bingham Blvd Wineglass Acres Unit 1,"$420,000"
My Home Group,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '750'}",2877 W Curtis Ranch Rd  ,"$399,000"
Better Homes And Gardens Real Estate Bloomtree Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,580'}",23359 N Jester Track Dr Wineglass Acres Unit 3,"$380,000"
Sands Realty,"{'Beds': '3', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '1,554'}",460 E Bramble Dr Antelope Lakes Unit 2,"$225,000"
Bedbrock Real Estate Company,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '10,170'}",7256 N 40th St #6 Crown Canyon Dba Whispering Canyon Amd,"$17,800,000"
Realty One Group,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '8,800'}",5815 N Palo Cristi Rd Palo Cristi Estates,"$17,160,000"
Retsy,"{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '9,444'}",6123 E Ironwood Dr #11 Silver Sky,"$16,495,000"
Retsy,"{'Beds': '14', 'Baths': '23', 'Sq.Ft.': '52,000'}",6112 N Paradise View Dr Paradise Mansion Estates,"$16,000,000"
Realty One Group,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '9,094'}",7560 N Silvercrest Way Clearwater Hills,"$15,995,000"
Bedbrock Real Estate Company,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '9,333'}",7150 N 40th St #11 Crown Canyon Dba Whispering Canyon Amd,"$15,900,000"
Launch Powered By Compass,"{'Beds': '6', 'Baths': '12', 'Sq.Ft. Lot': '80,776'}",5575 N Casa Blanca Dr Metes And Bounds,"$15,750,000"
Walt Danley Local Luxury Christie's International Real Estate,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '5,470'}",4510 E Maderos Del Cuenta Dr Villa Maderos Del Cuenta,"$15,000,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '7', 'Sq.Ft.': '10,656'}",6044 N 44th Place Sanctuary,"$14,900,000"
Realty One Group,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '8,964'}",6516 E Meadowlark Ln Hummingbird Vista,"$14,888,888"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '8,507'}",6126 E Joshua Tree Ln Egyptian Hills,"$14,000,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '7,500'}",6515 E Bluebird Ln Tbd,"$14,000,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '17', 'Baths': '14', 'Sq.Ft. Lot': '1,346,875'}",1571 S Frs 87 --  ,"$2,499,990"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '6,475'}",2275 E Maple St Rocky Mountain Heights,"$850,000"
Oak Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,100'}",9749 S Ice House Canyon Rd Metes & Bounds,"$550,000"
Delex Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,436'}",2320 N Chaparral Loop Chaparral Estates,"$515,000"
Exp Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,541'}",725 E Sycamore St East Globe Townsite,"$489,000"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,080'}",219 N Chicory Ln El Capitan,"$399,700"
Stallings & Long Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '1,940'}",2369 N Escudilla Dr Pioneer Hills,"$399,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,120'}",443 N Mountain Lion Pass -- #---- No Subdivision- See Directions,"$380,000"
Keller Williams Realty Phoenix,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,897'}",258 S Sutherland St Globe Townsite,"$339,000"
Stallings & Long Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,769'}",5768 S Mckinney Ave Doc Butler Estates,"$289,000"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,710'}",277 N High St Globe Townsite,"$279,700"
Stallings & Long Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,900'}",2566 N Chaparral Loop Pioneer Hills,"$279,000"
Realty One Group Mt Desert,"{'Beds': '2', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '902'}",20954 E Cactus Wren Dr Cordes Lakes Unit #8,"$138,900"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,132'}",20170 E Saguaro Dr Cordes Lakes Unit 6,"$309,900"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,782'}",20921 E Skyview Ln Cordes Lakes Unit 4,"$449,750"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,152'}",17186 E Trails End Rd Spring Valley 2,"$284,900"
RE/MAX Mountain Properties,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '1,080'}",12381 E Agua Fria Ave Mayer Townsite,"$125,000"
Kmf Real Estate,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '882'}",18200 S Wolf Run Trl  ,"$499,000"
Realty Executive Arizona Territory,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '840'}",16052 S Black Mountain Rd Cordes Lakes Unit 1,"$199,000"
Keller Williams Arizona Realty,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '946'}",0 N Forest Service Road 84  ,"$995,000"
My Home Group,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '808'}",10120 S Third St Mayer Townsite,"$273,900"
"10k Development, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,149'}",20829 E Valley View Ln Cordes Lakes Unit 4,"$254,500"
Realty One Group Mt Desert,"{'Beds': '2', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '924'}",17249 E Trails End Rd Spring Valley,"$199,000"
"10k Development, Llc","{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,077'}",17400 E Trails End Rd Spring Valley 2,"$149,500"
Bliss Realty & Investments,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '1,694'}",1112 N Center St  ,"$2,500,000"
Homesmart,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,168'}",3228 N 89th Place Mesa Uplands,"$2,499,000"
Keller Williams Realty Phoenix,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '6,634'}",3729 E Kenwood St Villa Tuscano Final Plat,"$2,495,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,161'}",8716 E Regina Circle Granite Mountain At Las Sendas,"$2,375,000"
Kor Properties,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,966'}",3963 N Pinnacle Hills Circle Pinnacle Hills At Las Sendas,"$2,275,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,409'}",512 E Mesa Vista Ln  ,"$2,200,000"
Keller Williams Integrity First,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,934'}",2255 N Val Vista Dr 2.4 Ac Parcel Directly South Of Entrance To Spy Glass,"$2,170,000"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '5,387'}",3518 E Kenwood St Hermosa Groves South,"$2,150,000"
Top Rock Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,917'}",3447 E Kenwood St Hermosa Groves South,"$1,988,000"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,241'}",3233 E Kenwood St Estates At 32Nd Street,"$1,975,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,696'}",2341 N Steele Circle Riviera At Mountain Bridge,"$1,800,000"
Kor Properties,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '5,148'}",3821 N Rowen Circle Las Sendas,"$1,800,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,395'}",16715 W Whitton Ave Pebblecreek Phase 2 Unit 47B,"$983,922"
The Rodney Jackson Company,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,399'}",3746 N 164th Ave Pebblecreek Phase 2 Unit 43A Various Lots Tract A,"$965,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '3', 'Sq.Ft. Lot': '8,404'}",16800 W Fairmount Ave Pebblecreek Phase 2 Unit 47A,"$961,429"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,544'}",15844 W Ashland Ave Portales/ Palm Valley Phase 8 North Parcel,"$950,000"
3rd Base Realty Group Llc,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,554'}",15733 W Bonitos Dr Palm Valley Phase 8 North Parcel,"$949,900"
Sell Your Home Services,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,160'}",16808 W Fairmount Ave Pebblecreek Phase 2 Unit 47A,"$949,000"
Pebblecreek Properties Limited,"{'Beds': '2', 'Baths': '3', 'Sq.Ft. Lot': '10,436'}",16768 W Fairmount Ave Pebblecreek Phase 2 Unit 47A,"$928,899"
Exp Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,810'}",3525 N 159th Ln Pebblecreek,"$925,000"
Exp Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,573'}",2577 N 142nd Ln Palm Valley Phase 2 Parcel 6,"$919,900"
RE/MAX Desert Showcase,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,826'}",2035 N 159th Ave Palm Valley Phase 8 North Parcel,"$915,000"
Arizona Home Shopper,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,134'}",15886 W Ashland Ave Palm Valley Phase 8 North Parcel,"$899,990"
"List With Freedom, Inc.","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,085'}",2844 N 165th Dr Pebblecreek Phase 2 Unit59,"$899,000"
Valley Executives Real Estate,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '6,831'}",2025 S Val Vista Dr  ,"$5,800,000"
The Noble Agency,"{'Beds': '6', 'Baths': '9', 'Sq.Ft.': '7,226'}",1480 E Raven Ct Monarch Estates,"$5,300,000"
Jk Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '4,552'}",3374 E Houston Ave Metes And Bounds - No Subdiv.,"$4,500,000"
Value Link Realty Llc,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,614'}",2601 E Mesquite St Sawyer Estates,"$4,000,000"
Jk Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,711'}",2574 E Camina Plata -- Acres+ Custom Homesite,"$3,999,998"
Homesmart,"{'Beds': '6', 'Baths': '6', 'Sq.Ft. Lot': '34,172'}",2786 E Haymore Ct Greenfield Acres 3,"$3,900,000"
RE/MAX Foothills,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,765'}",2021 S 140th St Casa Caballo,"$3,900,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '6,156'}",463 W Patrick Ct Perkins Ranch,"$3,750,000"
Gentry Real Estate,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,646'}",17932 E Stottler Dr Gilbert Area,"$2,700,000"
Homesmart,"{'Beds': '6', 'Baths': '5', 'Sq.Ft.': '5,758'}",3683 E Campbell Ct Circle G At The Highlands,"$2,699,000"
Hague Partners,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,151'}",22635 S Val Vista Dr Metes And Bounds,"$2,575,000"
