agency,description,name,price
Realty One Group,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '6,968'}",12802 S 71st St Tally-Ho Farms,"$3,000,000"
West Usa Realty,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '10,130'}",1020 E Caroline Ln Corona Vista,"$2,700,000"
Your Home Sold Guaranteed Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '6,297'}",1070 E Buena Vista Dr Buena Vista Ranchos,"$2,400,000"
Azarchitecture/Jarson & Jarson,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,553'}",221 E 14th St University Park Addition,"$2,350,000"
Platinum Realty Network,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,128'}",120 E Rio Salado Parkway #802 Edgewater Hayden Ferry Lakeside Condo Amd,"$1,700,000"
"W And Partners, Llc","{'Beds': '8', 'Baths': '6', 'Sq.Ft.': '5,200'}",1204 E Secretariat Dr Sunburst Farms Tempe,"$1,625,000"
West Usa Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,500'}",8315 S Homestead Ln Tempe Homestead,"$1,595,000"
Homesmart,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,701'}",322 W Knight Ln Alisanos 2Nd &3Rd Amd,"$1,200,000"
Realty Executives,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,411'}",140 E Rio Salado Parkway #803 Bridgeview At Hayden Ferry Lakeside Condominium Am,"$1,150,000"
Realty Executives,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,485'}",1017 E Sandpiper Dr Lakes Tract B,"$1,100,000"
"Opendoor Brokerage, Llc","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,272'}",1307 E Whalers Way Lakes Tract A,"$1,030,000"
Launch Powered By Compass,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,952'}",140 E Rio Salado Parkway #106 Bridgeview At Hayden Ferry Lakeside Condominium Am,"$1,017,000"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '5,371'}",20047 N Crown Ridge Dr Sun City West 1A,"$1,299,000"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,027'}",22916 N Padaro Dr Corte Bella Country Club At Santa Monica Unit Q,"$909,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '2,973'}",23128 N Sol Mar Ct Corte Bella Country Club Phase 3 Santa Barbara,"$785,000"
Your Home Sold Guaranteed Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,306'}",22108 N Acapulco Dr Sun City West Unit 57,"$760,000"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,726'}",12835 W Panchita Dr Corte Bella Country Club Unit L At Santa Catarina.,"$742,500"
Exp Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,726'}",23227 N Calle Real Dr Corte Bella Country Club Phase 3 Santa Barbara,"$739,900"
Keller Williams Realty Sonoran Living,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,900'}",11119 W Mountain View Rd Rancho Estates,"$1,200,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,908'}",13805 N Whispering Lake Dr Sun City 19,"$735,000"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,250'}",60 S Falling Leaf Rd Rendezvous Unit 1 At Torreon,"$1,690,000"
Elpis Real Estate Boutique,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,503'}",1591 S Falling Leaf Rd Rendezvous Unit 3 At Torreon,"$1,590,000"
"Forest Properties, Inc","{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '5,708'}",816 Fern Way Show Low Unsubdivided,"$1,575,000"
